Toidu nimi (EST),Kcal,Süsivesikud,Rasvad,Kiudained,Valgud,Vesi,Suhkrud
Jõhvikad,28.7,8.80,0.100,3.50,0.400,90.6,4.70
Jõhvikamoos,220,55.9,0,1.50,0,44.0,54.0
Joogijogurt,79.9,12.1,2.20,0.043,2.90,82.2,11.5
Joogiskyr,60.8,9.98,1.000,0.080,3.00,85.4,9.40
Juurpetersell,60.6,12.3,0.600,1.60,2.30,83.0,3.70
Juurseller,28.0,7.80,0.100,2.90,1.30,89.8,2.60
Juust,334,0,25.7,0,25.7,44.5,0
Juustuküpsis,542,41.1,36.2,2.59,14.3,5.53,0.805
Kaalikas,35.6,9.12,0.100,2.90,1.10,89.1,5.90
Kaerahelbed,370,69.2,6.70,12.0,14.1,8.30,1.000
Kaerajahu,357,67.0,6.50,10.00,12.5,12.1,0.700
Kaerajook,43.7,8.40,1.30,1.40,0.300,89.7,3.30
Kaerakiud,198,88.5,0.600,86.3,2.80,2.80,0
Kaerakliid,376,70.3,7.30,18.0,16.2,3.30,1.50
Kaeraküpsis,479,69.8,20.0,6.84,8.30,0.710,23.0
Kaheksajalg,68.9,0,1.12,0,14.7,83.0,0
Kakao,89.7,11.6,3.27,0.600,3.93,80.5,10.6
Kakaopulber,363,35.5,21.7,24.0,18.5,15.4,0
Kakaovõi,896,0,99.5,0,0,0.500,0
Kaktusvili,47.3,14.1,0.110,5.30,0.120,85.3,1.03
Kalamari,276,4.00,17.9,0,24.6,47.0,0
Kalapulgad,218,23.7,8.40,1.50,12.8,53.6,1.66
Kali,30.8,7.50,0,0,0.200,92.3,3.30
Kalkunihakkliha,132,0,4.80,0,22.1,72.0,0
Kalkuniliha,147,0,2.93,0,30.1,65.6,0
Kalmaar,102,0,1.78,0,21.5,74.7,0
Kamajahu ,351,75.7,2.71,15.5,13.8,6.04,0.820
Kamajook,82.5,11.6,2.49,1.39,4.12,80.9,4.85
Kamatahvel,555,58.8,34.0,5.77,6.30,0,36.0
Kammkarbid,61.5,2.17,0.490,0,12.1,83.5,0
Kana pooltiivad,254,2.07,18.0,0.165,21.0,55.9,1.40
Kanahakklihasegu,190,2.08,13.4,0.176,15.4,67.3,0.103
Kanaliha,145,0,2.81,0,29.9,66.0,0
Kananagitsad,202,13.1,10.00,1.12,15.5,58.6,0.700
Kanapallid,222,9.46,14.8,0.863,13.2,59.9,1.73
Kanarasv,898,0,99.8,0,0,0.200,0
Kanasnäkk,254,3.00,3.70,0,52.2,36.1,0.700
Kaneel,243,80.6,1.24,53.1,3.99,10.6,2.17
Kanepijahu ,330,45.3,11.1,42.6,33.5,4.90,2.50
Kanepiseemned,593,6.70,50.6,4.20,29.8,7.30,2.30
Kanepiseemneõli,899,0,99.9,0,0,0.100,0
Kapparid,32.0,5.30,0.860,3.20,2.36,83.4,2.10
Karamellkomm,386,77.0,8.18,0,1.21,11.8,72.5
Kardemon,237,56.8,2.60,23.1,8.10,25.2,4.28
Kärjemesi,341,74.4,4.60,0,0.600,20.2,74.4
"Karpkala, kuumtöödeldud",142,0,5.95,0,22.1,70.7,0
Kartul,74.7,17.0,0.103,1.03,1.96,79.9,0.618
Kartulikrõpsud,438,75.0,14.0,4.00,5.00,2.65,7.60
Kartulipüreepulber,357,73.5,3.97,8.00,10.9,7.63,6.10
Kartulitärklis,330,81.6,0.400,0,0,17.7,0.900
Karulauk,27.8,5.66,0.560,2.69,1.37,91.5,2.93
Karusmarjad,36.1,8.60,0.500,3.20,0.900,89.6,5.40
Karusmarjakompott,71.8,17.7,0.309,1.98,0.556,81.2,15.7
Karusmarjamoos,161,40.3,0.200,1.80,0.300,59.0,38.0
Kasesiirup,168,40.3,0.325,0,1.02,56.6,31.9
Kastanid,235,54.7,2.20,7.90,3.17,38.7,9.30
Kastanijahu,362,83.0,3.43,12.6,6.10,5.13,17.2
Keedusink,129,0,4.50,0,22.0,70.1,0
Keeduvorst,263,7.20,21.8,0,9.60,58.5,2.20
Keefir,55.0,4.45,2.54,0,3.58,88.7,3.77
Ketšup,90.9,21.6,0.100,0.300,1.04,74.3,21.3
Kibuvitsamarjad,325,80.4,1.40,12.0,3.70,9.10,61.0
Kibuvitsamoos,176,44.4,0.200,2.00,0.200,55.1,42.4
Kibuvitsapüree,73.1,19.6,0.100,4.10,0.500,79.7,15.3
Kiievi kotlet,268,6.43,17.0,1.43,23.0,50.8,0.700
Kiivi,57.7,13.4,0.600,2.40,0.880,84.6,9.10
Kikerherned,117,19.1,2.50,6.20,7.50,69.9,0.400
Kikerhernejahu,360,57.9,6.69,10.8,22.4,10.2,10.8
Kinoa,111,20.4,2.00,2.55,4.08,72.8,0.936
Kirsid,58.4,14.6,0.300,1.60,0.810,83.9,10.4
Kirsimoos,160,40.1,0.210,1.12,0.567,60.8,35.2
Kirsinektar,59.1,14.8,0.135,0.720,0.365,85.8,11.7
Kitsejuust,359,1.10,29.8,0,21.6,44.6,0
Kitsepiim,60.5,3.80,3.64,0,3.14,88.7,3.80
Klaasnuudlid,345,86.1,0.060,0.500,0.200,13.3,0.300
